Poll source,Date,Samplesize[b],Marginof error,DonaldTrumpRepublican,JoeBidenDemocratic,JoJorgensenLibertarian,HowieHawkinsGreen,Other,Abstention,Undecided,Lead
Morning Consult,Aug 17,"4,141 (LV)",± 2%,43%,51%,–,–,7%[bj],–,–,8%
USC Dornsife,Aug 11–17,"1,945 (LV)",–,40%[bk],53%,–[bl],–[bm],–[bn],–[bo],–,13%
USC Dornsife,Aug 11–17,"1,952 (LV)",–,41%[bp],51%,–,–,–[bq],–,–,10%
Léger,Aug 14–16,"1,001 (A)",± 3.1%,35%,51%,–,–,3%[br],–,10%,16%
Morning Consult,Aug 14–16,"11,809 (LV)",± 1%,43%,51%,–,–,2%[bs],–,4%,8%
YouGov/Yahoo News,Aug 14–15,"1,027 (LV)",–,41%,50%,–,–,–,–,–,9%
ABC News/Washington Post,Aug 12–15,707 (LV),–,44%,54%,–,–,–,–,–,10%
CNN/SSRS,Aug 12–15,987 (RV),± 3.7%,46%,50%,–,–,1%[bt],2%[bu],2%,4%
Data For Progress,Aug 13–14,"1,143 (LV)",± 2.7%,41%,50%,–,–,–,–,9%,9%
YouGov/CBS,Aug 12–14,"2,152 (LV)",± 2.4%,42%,52%,–,–,4%[bv],–,2%,10%
Harris X/The Hill,Aug 11–14,"2,823 (RV)",± 1.84%,39%,45%,–,–,4%,4%,7%,6%
Morning Consult,Aug 11–13,"12,000 (LV)",± 1%,42%,51%,–,–,2%[bw],–,5%,9%
Redfield and Wilton Strategies,Aug 12,"1,867 (LV)",–,41%,48%,2%,1%,1%[bx],–,7%,7%
NBC/Wall Street Journal,Aug 9–12,900 (RV),± 3.27%,41%,50%,–,–,5%[by],–,4%,9%
Fox News,Aug 9–12,"1,000 (RV)",± 3%,42%,49%,–,–,3%,1%,5%,7%
Data for Progress,Aug 11,782 (RV),–,40%,53%,–,–,8%[bz],–,–,13%
Ipsos/Reuters,Aug 10–11,"1,034 (RV)",± 3.5%,42%[ca],58%,–,–,–,–,–,16%
Ipsos/Reuters,Aug 10–11,"1,034 (RV)",± 3.5%,38%[cb],49%,2%,1%,5%[cc],2%,6%,11%
YouGov/Economist,Aug 9–11,"1,201 (RV)",± 3.6%,39%,49%,–,–,5%,1%,5%,10%
HarrisX/The Hill,Aug 8–11,"2,828 (RV)",± 1.84%,40%,44%,–,–,4%[cd],4%,9%,4%
Pulse Opinion Research/Rasmussen Reports,Aug 5–11,"2,500 (LV)",± 2%,43%,49%,–,–,4%[ce],–,4%,6%
Marist Polling,Aug 3–11,"1,120 RV",± 3.3%,42%,53%,–,–,2%,–,4%,11%
Morning Consult/Politico,Aug 9–10,"1,983 (RV)",± 2%,40%,49%,–,–,2%[cf],–,9%,9%
Morning Consult,Aug 8–10,"12,000 (LV)",± 1%,43%,51%,–,–,2%[cg],–,4%,8%
Global Strategy Group/GBAO,Aug 6–10,"1,419 (RV)",± 3.1%,43%,52%,–,–,–,1%,5%,9%
Monmouth,Aug 6–10,785 (RV),± 3.5%,41%,51%,2%,1%,1%[ch],1%,4%,10%
Morning Consult/Murmuration,Aug 4–10,"2,200 (A)[ci]",± 2%,41%[cj],54%,–,–,5%[ck],–,–,13%
Change Research/CNBC,Aug 7–9,"2,143 (LV)",± 2.12%,44%,50%,3%,1%,–,0%,2%,6%
RMG Research,Aug 6–8,"1,200 (RV)",± 2.8%,37%,45%,1%,1%,3%[cl],–,14%,8%
Morning Consult,Aug 5–7,"12,000 (LV)",± 1%,42%,51%,–,–,2%[cm],–,5%,9%
Léger,Aug 4–7,"1,007 (LV)",–,39%,47%,3%,1%,3%[cn],2%,6%,8%
Georgetown University/Battleground,Aug 1–6,"1,000 (LV)",± 3.1%,40%,53%,–,–,–,–,7%,13%
HarrisX/The Hill,Aug 2–5,"2,850 (RV)",± 1.84%,40%,43%,–,–,5%,3%,9%,3%
Research Co.,Aug 3–4,"1,018 (LV)",± 3.1%,38%,48%,2%,1%,1%[co],–,7%,10%
Ipsos/Reuters,Aug 3–4,964 (RV),± 3.6%,38%,48%,–,–,6%[cp],2%,6%,10%
YouGov/Economist,Aug 2–4,"1,225 (RV)",± 3.3%,40%,49%,–,–,3%,2%,6%,9%
Morning Consult,Aug 2–4,"12,000 (LV)",± 1%,42%,51%,–,–,3%[cq],–,5%,9%
Pulse Opinion Research/Rasmussen Reports,"Jul 29–30, Aug 2–4","2,500 (LV)",± 2%,45%,48%,–,–,3%[cr],–,3%,3%
Morning Consult,Jul 31 – Aug 2,"11,568 (LV)",± 1%,42%,51%,–,–,–,–,–,9%
Pew Research,Jul 27 – Aug 2,"9,114 (RV)",± 1.5%,45%,53%,–,–,2%[cs],–,–,8%
Morning Consult,Jul 30 – Aug 1,"12,000 (LV)",± 1%,43%,50%,–,–,2%[ct],–,4%,7%
Emerson College,Jul 29–30,964 (LV),± 3.1%,47%[cu],53%,–,–,–,–,–,6%
YouGov/Yahoo News,Jul 28–30,"1,088 (RV)",–,40%,49%,–,–,2%,1%,8%,9%
Morning Consult,Jul 27–29,"12,000 (LV)",± 1%,43%,50%,–,–,3%[cv],–,4%,7%
Data For Progress,Jul 28,794 (RV),–,42%[cw],52%,–,–,8%[cx],–,–,10%
Ipsos/Reuters,Jul 27–28,947 (RV),± 3.6%,38%,47%,–,–,7%[cy],2%,6%,9%
YouGov/Economist,Jul 26–28,"1,260 (RV)",± 3.4%,40%,49%,–,–,4%,1%,6%,9%
IBD/TIPP,Jul 25–28,"1,160 (RV)",± 3.1%,41%,48%,–,–,–,–,–,7%
Optimus,Jul 24–28,914 (LV),–,40%,48%,–,–,3%[cz],1%,8%,8%
Pulse Opinion Research/Rasmussen Reports[2],"Jul 22–23, Jul 26–28","2,500 (LV)",± 2%,42%,48%,–,–,5%[da],–,4%,6%
Beacon Research/The Dream Corps,Jul 23–27,"1,504 (RV)",–,41%,48%,–,–,4%,2%,5%[db],7%
YouGov Blue/Data For Progress,Jul 21–27,"1,059 (LV)",–,45%,51%,–,–,–,–,–,6%
Change Research/CNBC,Jul 24–26,"1,039 (LV)",± 3.04%,42%,51%,2%,1%,–,1%,3%,9%
Morning Consult[3],Jul 24–26,"12,235 (LV)",± 1%,43%,51%,–,–,2%[dc],–,5%,8%
RMG Research,Jul 23–25,"1,200 (RV)",–,37%,45%,2%,1%,3%,–,12%,8%
YouGov/CBS News,Jul 21–24,"1,401 (LV)",± 3.1%,41%,51%,–,–,4%,–,4%,10%
Zogby Analytics,Jul 21–23,"1,516 (LV)",± 2.5%,40%,44%,5%,2%,–,–,9%,4%
Harvard-Harris,Jul 21–23,"1,786 (LV)",–,45%,55%,–,–,–,–,–,10%
Morning Consult,Jul 21–23,"12,000 (LV)",± 1%,42%,51%,–,–,3%[dd],–,5%,9%
Echelon Insights,Jul 17–22,"1,000 (LV)",–,37%[de],50%,3%,1%,–,–,9%,13%
Echelon Insights,Jul 17–22,"1,000 (LV)",–,38%[df],53%,–,–,–,–,9%,15%
Data for Progress,Jul 21,652 (RV),–,44%,50%,–,–,6%,–,–,6%
YouGov/Economist,Jul 19–21,"1,222 (RV)",± 3.2%,41%,48%,–,–,5%,2%,4%,7%
Ipsos/Reuters,Jul 15–21,"3,744 (RV)",± 1.8%,38%,46%,–,–,8%,2%,6%,8%
Pulse Opinion Research/Rasmussen Reports,Jul 15–21,"2,500 (LV)",± 2%,45%,47%,–,–,5%,–,4%,2%
Morning Consult,Jul 18–20,"12,000 (LV)",± 1%,42%,50%,–,–,3%[dg],–,5%,8%
HarrisX/The Hill,Jul 17–20,"2,829 (RV)",± 1.84%,38%,45%,–,–,5%,4%,9%,7%
AP-NORC,Jul 16–20,"1,057 (A)",± 4.3%,34%,46%,–,–,10%,8%,0%,12%
Morning Consult/Politico,Jul 17–19,"1,991 (RV)",± 2%,40%,47%,–,–,–,–,–,7%
GQR Research,Jul 15–19,"1,000 (RV)",± 3.1%,44%,55%,–,–,1%,–,0%,11%
Kaiser Family Foundation,Jul 14–19,"1,117 (RV)",± 4%,38%,47%,–,–,3%[dh],2%,10%,9%
Morning Consult,Jul 13–19,"31,310 (RV)",± 1%,40%,47%,–,–,–,–,–,7%
Benenson Strategy Group/GS Strategy Group,Jul 15–18,"1,301 (LV)",–,39%,50%,–,–,4%[di],1%,7%,11%
Morning Consult,Jul 15–17,"12,000 (LV)",± 1%,42%,50%,–,–,3%,–,5%,8%
ABC News/Washington Post,Jul 12–15,673 (LV),–,44%,54%,–,–,–,–,–,10%
Fox News,Jul 12–15,"1,104 (RV)",± 3%,41%,49%,–,–,4%,1%,5%,8%
Ipsos/Reuters,Jul 13–14,961 (RV),± 3.6%,37%,47%,–,–,7%,2%,7%,10%
YouGov/Economist,Jul 12–14,"1,252 (RV)",± 3.3%,40%,49%,–,–,4%,2%,4%,9%
Morning Consult,Jul 12–14,"12,000 (LV)",± 1%,42%,50%,–,–,3%[dj],–,5%,8%
YouGov/Yahoo News,Jul 11–14,"1,081 (RV)",± 3.6%,39%,47%,–,–,3%,1%,10%,8%
Pulse Opinion Research/Rasmussen Reports,Jul 8–14,"1,500 (LV)",± 4.5%,44%,47%,–,–,5%,–,4%,3%
Quinnipiac University,Jul 9–13,"1,273 (RV)",± 2.8%,37%,52%,–,–,3%,2%,6%,15%
Morning Consult,Jul 6–13,"32,514 (RV)",±2.0%,39%,47%,–,–,–,–,–,8%
Change Research/CNBC,Jul 10–12,"1,258 (LV)",± 2.76%,41%,51%,3%,2%,0%,2%,2%,10%
NBC/WSJ,Jul 9–12,900 (RV),± 3.27%,40%,51%,–,–,–,7%,2%,11%
RMG Research/Scott Rasmussen/Just the News,Jul 9–11,"1,200 (RV)",±5.0%,39%,46%,–,–,6%,–,8%,7%
Morning Consult,Jul 9–11,"12,000 (LV)",± 1%,42%,50%,–,–,3%[dk],–,5%,8%
Redfield & Whilton Strategies,Jul 9,"1,853 (LV)",2.5%,40%[dl],48%,1%,1%,1%,–,9%,8%
Redfield & Whilton Strategies,Jul 9,"1,853 (LV)",2.5%,39%[dm],48%,2%,1%,2%[dn],–,8%,9%
SurveyMonkey/Study Finds,Released Jul 8,469 (A),9.5%,37%[do],55%,–,–,8%[dp],–,–,18%
SurveyMonkey/Study Finds,Released Jul 8,469 (A),9.5%,39%[dq],61%,–,–,–,–,–,21%
Zogby Analytics/EMI Research,Jul 8,"1,000 (LV)",5.6%,42%,49%,–,–,–,–,9%,7%
Morning Consult,Jul 6–8,"12,000 (LV)",± 1%,42%,51%,–,–,3%[dr],–,4%,9%
Democracy Fund & UCLA Nationscape,Jul 2–8,"4,983 (RV)[ds]",1.5%,41%,49%,–,–,–,–,–,8%
Data for Progress,Jul 7,673 (RV),5.8,42%,52%,–,–,6%,–,–,10%
Ipsos/Reuters,Jul 6–7,952 (RV),± 3.6%,37%[dt],43%,–,–,10%,3%,7%,6%
Pulse Opinion Research/Rasmussen Reports,Jul 5–7,"1,500 (LV)",± 5.0%,40%,50%,–,–,–,–,6%,10%
YouGov/Economist,Jul 5–7,"1,165 (RV)",± 3.6%,40%,49%,–,–,4%,2%,4%,9%
Morning Consult,Jul 3–5,"12,000 (LV)",± 1%,42%,50%,–,–,3%[du],–,5%,8%
Morning Consult,Jun 29 – Jul 5,"33,549 (RV)",± 2%,39%,48%,–,–,–,–,–,9%
HarrisX/The Hill,Jul 3–4,933 (RV),± 3.2%,39%,43%,–,–,5%,5%,8%,4%
Research Co.[4],Jul 1–2[dv],"1,049 (LV)",± 3.0%,40%,49%,1%,–,2%,4%,4%,9%
Morning Consult,Jun 30 – Jul 2,"12,000 (LV)",± 1%,42%,51%,–,–,3%[dw],–,4%,9%
YouGov/Yahoo News,Jun 29 – Jul 1,"1,187 (RV)",4.4%,40%,45%,–,–,4%,3%,9%,5%
Global Strategy Group/Data For Progress,Jun 23 – Jul 1,"3,249 (RV)",–,39%,50%,–,2%,2%[dx],–,4%,11%
Ipsos/Reuters,Jun 29–30,943 (RV),± 3.6%,38%,46%,-,-,10%[dy],6%,8%
YouGov/Economist,Jun 28–30,"1,198 (RV)",± 3.4%,40%,49%,-,-,6%[dz],4%,9%
IBD/TIPP,Jun 27–30,"1,005 (RV)",± 3.1%,40%,48%,-,-,–,–,8%
Monmouth,Jun 26–30,359 (RV),–,39%,52%,4%[ea],<1%[eb],~2-3%[ec],3%,13%
Monmouth,Jun 26–30,733 (RV),± 3.6%,41%[ed],53%,-,-,4%[ee],2%,12%
Morning Consult,Jun 27–29,"12,000 (LV)",± 1%,43%,50%,-,-,3%[ef],4%,7%
Suffolk University/USA Today,Jun 25–29,"1,000 (RV)",± 3.1%,41%[eg],53%,-,-,–,–,12%
Suffolk University/USA Today,Jun 25–29,"1,000 (RV)",± 3.1%,37%[eh],46%,-,-,11%[ei],6%,9%
Change Research/CNBC,Jun 26–28,"1,663 (LV)",± 2.4%,41%,49%,5%,2%,1%[ej],3%,8%
Hart Research Associates/Protect Our Care[A],Jun 22–28,"1,000 (LV)",–,41%,55%,-,-,1%[ek],3%,14%
Morning Consult,Jun 22–28,"28,722 (RV)",± 1%,40%,47%,-,-,–,–,7%
PureSpectrum/COVID-19 Consortium,Jun 12–28,"22,501 (LV)",–,39%,47%,-,-,–,–,8%
RMG Research/Scott Rasmussen,Jun 25–27,"1,200 (RV)",–,39%,47%,-,-,6%[el],7%,8%
Optimus/Firehouse,Jun 23–27,903 (LV),–,40.6%,44.8%,-,-,6.1%[em],8.5%,4.2%
PPP/Giffords[B],Jun 25–26,996 (RV),–,42%,53%,-,-,–,5%,11%
Morning Consult,Jun 24–26,"12,000 (LV)",± 1%,42%,50%,-,-,2%[en],5%,8%
YouGov/Yahoo News,Jun 24–25,"1,244 (RV)",–,39%,47%,-,-,5%[eo],9%,8%
Marist College,Jun 22–24,"1,515 (RV)",± 3.5%,44%,52%,-,-,3%,2%,8%
Opinium/The Guardian,Jun 19–24,"1,215 (LV)",–,40%,52%,-,-,3%[ep],4%,12%
Data for Progress,Jun 23,721 (RV),–,44%,50%,-,-,5%[eq],–,6%
HarrisX/The Hill,Jun 22–23,951 (RV),± 3.18%,39%,43%,-,-,9%[er],9%,4%
Ipsos/Reuters,Jun 22–23,934 (RV),± 3.7%,37%,47%,-,-,10%[es],6%,10%
Morning Consult,Jun 21–23,"12,000 (LV)",± 1%,42%,50%,-,-,3%[et],5%,8%
YouGov/Economist,Jun 21–23,"1,230 (RV)",± 3.3%,41%,49%,-,-,6%[eu],5%,8%
CNBC/Hart Research/Public Opinion Strategies,Jun 19–22,800 (RV),± 3.5%,38%,47%,-,-,–,–,9%
NYT Upshot/Siena College,Jun 17–22,"1,337 (RV)",± 3%,36%,50%,-,-,5%[ev],9%,14%
Pew Research Center,Jun 16–22,"3,577 (RV)",± 2%,44%,54%,-,-,2%[ew],–,10%
Morning Consult,Jun 15–21,"30,942 (RV)",± 1%,39%,47%,-,-,–,–,8%
Morning Consult,Jun 18–20,"12,000 (LV)",± 1%,42%,50%,-,-,3%[ex],5%,8%
PPP/Protect Our Care[C],Jun 19–20,"1,013 (V)",± 3.1%,43%,52%,-,-,–,6%,9%
Harvard-Harris,Jun 17–18,"~ 1,735 (LV)[ey]",–,44%,56%,-,-,–,–,12%
Morning Consult,Jun 15–17,"12,000 (LV)",± 1%,42%,51%,-,-,3%[ez],4%,9%
YouGov/Economist,Jun 14–16,"1,160 (RV)",± 3.5%,41%,50%,-,-,5%[fa],4%,9%
Fox News,Jun 13–16,"1,343 (RV)",± 2.5%,38%,50%,-,-,7%[fb],5%,12%
Axios/SurveyMonkey,Jun 12–16,"5,666 (A)",–,42%,53%,-,-,4%[fc],–,11%
Echelon Insights,Jun 12–16,"1,000 (LV)",–,42%,50%,-,-,–,8%,8%
Ipsos/Reuters,Jun 10–16,"3,768 (RV)[fd]",± 1.8%,35%,48%,-,-,10%[fe],7%,13%
Optimus/Firehouse,Jun 9–16,686 (LV),–,43.9%,50%,-,-,6.1%[ff],–,6%
Quinnipiac,Jun 11–15,"1,332 (RV)",± 2.7%,41%,49%,-,-,4%[fg],5%,8%
Morning Consult,Jun 12–14,"12,000 (LV)",± 1%,42%,50%,-,-,3%[fh],5%,8%
Change Research/CNBC,Jun 12–14,"1,250 (LV)",± 2.77%,41%,51%,3%,2%,0%[fi],3%,10%
Kaiser Family Foundation,Jun 8–14,"1,094 (RV)",± 4%,38%,51%,-,-,5%[fj],7%,13%
Morning Consult,Jun 8–14,"32,138 (RV)",± 1%,39%,48%,-,-,–,–,9%
RMG Research/Scott Rasmussen/Just the News,Jun 11–13,"1,200 (RV)",–,36%,48%,-,-,6%,9%,12%
Abacus Data,Jun 11–13,"1,004 (LV)[fk]",–,41%,51%,-,-,–,–,10%
Firehouse/Optimus,Jun 6–13,742 (LV),–,42.9%,51.6%,-,-,5.5%[fl],–,8.7%
Morning Consult,Jun 9–11,"12,000 (LV)",± 1%,42%,50%,-,-,3%[fm],5%,8%
Climate Nexus,Jun 6–11,"9,087 (RV)",± 1%,41%,48%,-,-,–,11%,7%
YouGov/Yahoo News,Jun 9–10,"1,288 (RV)",–,40%,49%,-,-,5%[fn],6%,9%
Democracy Fund & UCLA Nationscape/SurveyUSA,May 28 – Jun 10,"10,601 (RV)",± 1.5%,39%,50%,-,-,–,–,11%
YouGov/Econnomist,Jun 7–9,"1,241 (RV)",± 3.4%,41%,49%,-,-,5%[fo],5%,8%
Ipsos/Reuters,Jun 8–9,931 (RV),–,38%,46%,-,-,7%,9%[fp],8%
Firehouse/Optimus,Jun 2–9,762 (LV),–,42.2%,53%,-,-,4.8%[fq],–,11%
Redfield & Wilton Strategies,Jun 2–9,"1,500 (LV)",–,37%,50%,1%,<1%,1%,10%,13%
Morning Consult,Jun 6–8,"12,000 (LV)",± 1%,42%,51%,-,-,3%[fr],4%,9%
MSR Group,Jun 7,855 (RV),± 3.1%,38.9%,46.3%,-,-,7.3%[fs],7.5%,7.3%
Morning Consult,Jun 1–7,"32,380 (RV)",± 1%,39%,47%,-,-,–,–,8%
Firehouse/Optimus,Jun 4–6,787 (LV),–,41.9%,53.1%,-,-,5%[ft],–,11.2%
Scott Rasmussen/RMG Research,Jun 4–6,"1,200 (RV)",–,37%,47%,-,-,9%[fu],7%,10%
Garin-Hart-Yang/Senate Majority PAC/Priorities USA[D],Jun 3–6,"1,223 (LV)",–,41%,53%,-,-,–,–,12%
Morning Consult,Jun 3–5,"12,000 (LV)",± 1%,43%,49%,-,-,3%[fv],5%,6%
CNN/SSRS,Jun 2–5,"1,125 (RV)",± 3.6%,41%,55%,-,-,3%[fw],2%,14%
NORC/AEI,May 21 – Jun 5,"3,504 (A)",± 2.3%,32%,40%,-,-,19%[fx],9%,8%
Whitman Insight Strategies,Jun 2–4,500 (RV),–,43%,53%,-,-,1%,2%,10%
HarrisX/The Hill,Jun 1–4,"2,827 (RV)",± 1.8%,37%,47%,-,-,8%[fy],8%,10%
Marist College,Jun 2–3,958 (RV),± 4.0%,43%,50%,-,-,2%,5%,7%
Emerson College,Jun 2–3,"1,431 (RV)",± 2.5%,47%[fz],53%,-,-,–,–,6%
Civiqs/Daily Kos,Jun 1–3,"1,327 (A)",± 2.8%,44%,47%,-,-,7%[ga],3%,3%
IBD/TIPP,May 31 – Jun 3,964 (RV),–,42%,45%,-,-,–,–,13%
Data for Progress,"Jun 2, 2020[gb]",688 (RV),–,40.2%,53.58%,-,-,6.22%[gc],–,13.4%
Zogby Analytics,Jun 1–2,"1,007 (LV)",± 3.1%,46%,46%,-,-,–,8%,Tie
Ipsos/Reuters,Jun 1–2,964 (RV),–,37%,47%,-,-,–,–,10%
Research Co.[5],Jun 1–2,"1,000 (A)",± 3.1%,41%,46%,2%,–,1%,10%[gd],5%
YouGov/Economist,May 31 – Jun 2,"1,244 (RV)",± 3.2%,40%,47%,-,-,8%[ge],5%,7%
Morning Consult,May 31 – Jun 2,"12,000 (LV)",± 1%,43%,49%,-,-,3%[gf],5%,6%
NBC/WSJ,May 28 – Jun 2,"1,000 (RV)",± 3.1%,42%,49%,-,-,5%[gg],4%,7%
Firehouse/Optimus,May 26 – Jun 2,795 (LV),–,44.4%,50.9%,-,-,4.7%[gh],–,6.5%
Morning Consult,May 31 – Jun 1,"1,624 (RV)",± 2%,39%,51%,-,-,–,10%,12%
YouGov/CBS News,May 29 – Jun 1,"1,486 (LV)",–,43%,47%,-,-,4%[gi],5%,4%
Monmouth,May 28 – Jun 1,742 (RV),± 3.6%,41%,52%,-,-,6%[gj],1%,11%
Change Research/CNBC,May 29–31,"1,457 (LV)",± 2.567%,41%,48%,3%,3%,1%[gk],4%,7%
Morning Consult,May 25–31,"31,983 (RV)[gl]",± 1%,41%,46%,-,-,–,–,5%
PureSpectrum/COVID-19 Consortium,May 16–31,"18,132 (LV)",–,37%,46%,-,-,–,–,9%
Morning Consult,May 28–30,"12,000 (LV)",± 1%,44%,49%,-,-,3%[gm],5%,5%
YouGov/Yahoo News,May 29–30,861 (RV),–,40%,48%,-,-,6%[gn],5%,8%
